passage_id,node_id,numChildren,label,Edge_id,parent_type,Parent_id,parent_edge_id,Terminal,Text,Original Refinement,Refinement2,Comments,Possible Foundational layer disputes,text_reduced,text_reduced1
290,1.64,1,D,1.55->1.64,FN,1.55,1.52->1.55,tremendous,"[A [E an] [U ""] [E underwater] [C boat] ] [U ""] [R of] [D tremendous] [D motor] [S power] [U .]",degree,,,,[A][U][R][D][D][S][U,ADDS
291,1.12,1,D,1.5->1.12,FN,1.5,1.1->1.5,completely,[A IMPLICIT] [A [E the] [E latter] [C hypothesis] ] [F was] [D completely] [P admissible],degree,,,,[A][A][F][D][P],AADP
293,1.97,1,D,1.83->1.97,FN,1.83,1.1->1.83,enough,[A [A IMPLICIT] [P Keeping] [A [E a] [C secret] ] [A [R under] [E such] [C circumstances] ] ] [D would] [F be] [S difficult] [D enough] [A [R for] [E an] [C individual] ],degree,,,,[A][D][F][S][D][A],ADSDA
296,1.173,3,D,1.167->1.173,FN,1.167,1.141->1.167,no matter what,[A* Pierre Aronnax] [F to] [P formulate] [A [E his] [C views] ] [D no matter what] [U .],degree,,,,[A*P][F][P][A][D][U,A*PPAD
298,1.5,1,D,1.49->1.50,FN,1.49,1.45->1.49,extremely,[D extremely] [S powerful] ... [A* animal],degree,,,,[D][S][A*,DSA*
299,1.18,1,D,1.7->1.18,FN,1.7,1.6->1.7,totally,[A [E [E The] [E deepest] [C parts] [R of] ] [E the] [C ocean] ] [F are] [D totally] [S unknown] [A [R to] [C us] ],degree,,,,[A][F][D][S][A],ADSA
299,1.9,1,D,1.87->1.90,FN,1.87,1.6->1.87,almost,[A It] [F 's] [D almost] [D beyond] [P conjecture] [U .],degree,,,,[A][F][D][D][P][U,ADDP
299,1.91,1,D,1.87->1.91,FN,1.87,1.6->1.87,beyond,[A It] [F 's] [D almost] [D beyond] [P conjecture] [U .],degree,,,,[A][F][D][D][P][U,ADDP
302,1.69,1,D,1.65->1.69,FN,1.65,1.63->1.65,basically,[A* animals] [R with] [S [E a] ... [C constitution] ] [D basically] [U '] [D [E cast] [U -] [C iron] ] [U '],degree,,,,[A*][R][S][D][U][D][U,A*SDD
306,1.7,1,D,1.67->1.70,FN,1.67,1.6->1.67,just,[A you] [P get] [D just] [A [E the] [C collision] [E [A* collision] [A we] [P need] [A [A* collision] [F to] [P cause] [A [E the] [E [P specified] [A* catastrophe] ] [C catastrophe] [U .] ] ] ] ],degree,,,,[A][P][D][A],APDA
307,1.26,1,D,1.24->1.26,FN,1.24,1.19->1.24,colossal,[A* unicorn] [R of] [D colossal] [S dimensions],degree,,,,[A*][R][D][S],A*DS
310,1.7,1,D,1.65->1.70,FN,1.65,1.1->1.65,precisely,[A [E the] [C sea] ] [S is] [D precisely] [A [E their] [E best] [C medium] ],degree,,,,[A][S][D][A],ASDA
312,1.9,1,D,1.4->1.9,FN,1.4,1.1->1.4,purely,[A [E some] ... [C* people] ] [P saw] [A it] [D purely] [A [R as] [E a] [E scientific] [C problem] [E [A IMPLICIT] [A* problem] [F to] [F be] [P solved] ] ],degree,,,,[A][P][A][D][A],APADA
314,1.36,1,D,1.34->1.36,FN,1.34,1.29->1.34,further,[A* monster] [D no] [D further] [P appearances],degree,,,,[A*][D][D][P],A*DDP
316,1.9,1,D,1.7->1.9,FN,1.7,1.2->1.7,intense,[A IMPLICIT] [D intense] [P excitement],degree,,,,[A][D][P],ADP
316,1.72,1,D,1.69->1.72,FN,1.69,1.1->1.69,only,[A he] [D needed] [D only] [F to] [P [C fire] [N and] [C stoke] ] [A [E his] [C furnaces] ],degree,,,,[A][D][D][F][P][A],ADDPA
815,1.21,1,D,1.20->1.21,FN,1.2,1.16->1.20,badly,[A* I] [D badly] [D needing] [S [E a] [C rest] ],degree,,,,[A*][D][D][S],A*DDS
816,1.3,1,D,1.23->1.30,FN,1.23,1.4->1.23,enough,[A [E our] [C unicorn] ] [D may] [F be] [S gracious] [D enough] [A [F to] [P take] [A me] [A [R toward] [E the] [C coast] [E [R of] [C France] ] ] ],degree,,,,[A][D][F][S][D][A],ADSDA
819,1.36,1,D,1.33->1.36,FN,1.33,1.32->1.33,genuinely,[A* boy] [R whom] [A I] [D genuinely] [P liked],degree,,,,[A*][R][A][D][P],A*ADP
819,1.49,1,D,1.46->1.49,FN,1.46,1.1->1.46,born,[A* Conseil] [S [E a] ... [C stoic] ] [D born],degree,,,,[A*][S][D],A*SD
819,1.63,1,D,1.62->1.63,FN,1.62,1.1->1.62,rarely,[A* Conseil] [D rarely] [P startled] [A [R by] [E [C life] [R 's] ] [C surprises] ],degree,,,,[A*][D][P][A],A*DPA
819,1.73,1,D,1.72->1.73,FN,1.72,1.1->1.72,very,[A* Conseil] [D very] [S skillful] [A [R with] [E his] [C hands] ],degree,,,,[A*][D][S][A],A*DSA
820,1.17,1,D,1.169->1.170,FN,1.169,1.1->1.169,what,"[A* he] [D what] [A [E a] ... [C lad] [U !] ] [S [C fine] [U ,] [C gallant] ]",degree,,,,[A*][D][A][S],A*DAS
821,1.69,1,D,1.67->1.69,FN,1.67,1.54->1.67,how,[D no matter] [D how] [S far off] [A it] [F was],degree,,,,[D][D][S][A][F,DDSA
823,1.22,1,D,1.20->1.22,FN,1.2,1.1->1.20,only,[A he] [D only] [P addressed] [A me] [D [R in] [E the] [E third] [C person] ],degree,,,,[A][D][P][A][D],ADPAD
825,1.91,1,D,1.88->1.91,FN,1.88,1.1->1.88,good,"[F There] [F was] [D good] [D reason] [P [R to] [C stop] [N and] [C think] ] [U ,] [G even] [A [R for] [A [E the] [C world] [R 's] ] [D most] [S emotionless] [A man] ]",degree,,,,[F][F][D][D][P][U][G][A],DDPA
826,1.42,1,D,1.40->1.42,FN,1.4,1.39->1.40,Yes,"[A IMPLICIT] [P* summon] [D Yes] [U ,] [G my boy]",degree,,,,[A][P*][D][U][G,AP*D
826,1.72,1,D,1.69->1.72,FN,1.69,1.68->1.69,As,[A IMPLICIT] [D As] [G master] [P wishes],degree,,,,[A][D][G][P],ADP
826,1.133,1,D,1.132->1.133,FN,1.132,1.85->1.132,just,[A* you] [D just] [P squeeze ... in] [A [C it] [E all] ],degree,,,,[A*][D][P][A],A*DPA
826,1.289,1,D,1.287->1.289,FN,1.287,1.286->1.287,Yes,"[P* returning] [A* Paris] [D Yes] [U ,] [A we] [F are] [U .] [U .] [U .] [D certainly]",degree,,,,[P*][A*][D][U][A][F][U][U][U][D],P*A*DAD
826,1.297,1,D,1.287->1.297,FN,1.287,1.286->1.287,certainly,"[P* returning] [A* Paris] [D Yes] [U ,] [A we] [F are] [U .] [U .] [U .] [D certainly]",degree,,,,[P*][A*][D][U][A][F][U][U][U][D],P*A*DAD
826,1.343,1,D,1.337->1.343,FN,1.337,1.336->1.337,really,"[F Oh] [U ,] [A it] [F 's] [S nothing] [D really]",degree,,,,[F][U][A][F][S][D],ASD
826,1.351,1,D,1.350->1.351,FN,1.35,1.347->1.350,slightly,[A* route] [D slightly] [D less] [S direct],degree,,,,[A*][D][D][S],A*DDS
827,1.106,1,D,1.100->1.106,FN,1.1,1.6->1.100,quite,[A [E These] [C beasts] ] [D can] [F be] [D quite] [P unpredictable],degree,,,,[A][D][F][D][P],ADDP
828,1.64,1,D,1.62->1.64,FN,1.62,1.1->1.62,As,"[A IMPLICIT] [D As] [G master] [P wishes] [U .] [U ""]",degree,,,,[A][D][G][P][U][U,ADP
830,1.93,1,D,1.92->1.93,FN,1.92,1.85->1.92,sufficient,[A* line] [D sufficient] [F to] [P cover] [A [E the] [C babirusa] ],degree,,,,[A*][D][F][P][A],A*DPA
835,1.83,1,D,1.80->1.83,FN,1.8,1.66->1.80,considerable,[A* Abraham Lincoln] [P [E a] ... [C speed] ] [D considerable],degree,,,,[A*][P][D],A*PD
836,1.19,1,D,1.16->1.19,FN,1.16,1.1->1.16,well,"[A I] [F was] [D well] [S satisfied] [A [R with] [E my] [C cabin] [U ,] [E [H [A* cabin] [R which] [F was] [S located] [A [R in] [E the] [C stern] ] ] [L and] [H [A* cabin] [R* which] [P opened] [A [R into] [E [E the] [C officers] ] [U '] [C mess] [U .] ] ] ] ]",degree,,,,[A][F][D][S][A],ADSA
837,1.8,1,D,1.4->1.8,FN,1.4,1.3->1.4,quite,[A We] [F 'll] [F be] [D quite] [S comfortable] [A here],degree,,,,[A][F][F][D][S][A],ADSA
837,1.23,2,D,1.20->1.23,FN,1.2,1.19->1.20,all due,[A IMPLICIT] [R With] [D all due] [S respect] [G to master],degree,,,,[A][R][D][S][G,ADS
839,1.9,1,D,1.84->1.90,FN,1.84,1.73->1.84,well,[A* expedition] [R whose] [A [S true] [A story] ] [D might] [D well] [P meet] [A [R with] [E some] [C [A IMPLICIT] [P skepticism] [U .] ] ],degree,,,,[A*][R][A][D][D][P][A],A*ADDPA
844,1.25,1,D,1.24->1.25,FN,1.24,1.8->1.24,all,[A* coast] [D all] [P loaded down] [A [R with] [E country] [C homes] ],degree,,,,[A*][D][P][A],A*DPA
845,1.19,1,D,1.18->1.19,FN,1.18,1.1->1.18,only,[A* escort] [D only] [P left] [A us],degree,,,,[A*][D][P][A],A*DPA
882,1.9,1,D,1.3->1.9,FN,1.3,1.1->1.3,only,"[A [E the] [C crew] ] [U ,] [F they] [D only] [P wanted] [A [H [A* crew] [F to] [P encounter] [A [E the] [C unicorn] ] ] [U ,] [H [A* crew] [P harpoon] [A it] ] [U ,] [H [A* crew] [P haul] [A it] [A [R on] [C board] ] ] [U ,] [L and] [H [A* crew] [P carve ... up] [A it] ] ]",degree,,,,[A][U][F][D][P][A],ADPA
883,1.75,1,D,1.72->1.75,FN,1.72,1.71->1.72,utterly,[A* Conseil] [R who] [G seemed] [D utterly] [S uninterested] [A [R in] [E the] [C question] [E [A* question] [P exciting] [A us] ] ],degree,,,,[A*][R][G][D][S][A],A*DSA
884,1.107,1,D,1.106->1.107,FN,1.106,1.105->1.106,very,[A* cannon] [D very] [S heavy] [A [R of] [C barrel] ],degree,,,,[A*][D][S][A],A*DSA
884,1.107,1,D,1.113->1.107,FN,1.106,1.105->1.106,very,[A* cannon] [D very] [S heavy] [A [R of] [C barrel] ],degree,,,,[A*][D][S][A],A*DSA
886,1.56,1,D,1.55->1.56,FN,1.55,1.53->1.55,truly,[D truly] [P crafty] ... [A* whale],degree,,,,[D][P][A*,DPA*
886,1.65,1,D,1.64->1.65,FN,1.64,1.62->1.64,exceptionally,[D exceptionally] [S astute] ... [A* whale],degree,,,,[D][S][A*,DSA*
887,1.44,1,D,1.42->1.44,FN,1.42,1.1->1.42,very,[A* he] [D not] [D very] [S sociable],degree,,,,[A*][D][D][S],A*DDS
887,1.53,1,D,1.52->1.53,FN,1.52,1.1->1.52,quite,[A* he] [D quite] [S [E ill] [U -] [C tempered] ] [A [A* he] [R when] [P crossed] ],degree,,,,[A*][D][S][A],A*DSA
891,1.43,1,D,1.36->1.43,FN,1.36,1.31->1.36,only,[A* comradeship] [P [C born] [N and] [C cemented] ] [A [R during] ... [E [E the] [E most] [C frightful] ] [C crises] ] [D only],degree,,,,[A*][P][A][D],A*PAD
891,1.61,1,D,1.54->1.61,FN,1.54,1.53->1.54,only,"[F Ah] [U ,] [G my gallant Ned] [U !] [A I] [D ask] [D only] [F to] [P live] [T [E 100] [C years] [E more] ]",degree,,,,[F][U][G][U][A][D][D][F][P][T],ADDP
892,1.28,1,D,1.25->1.28,FN,1.25,1.21->1.25,flatly,[R that] [A he] [D flatly] [F did] [D n't] [P believe] [A [R in] [E the] [C unicorn] ],degree,,,,[R][A][D][F][D][P][A],ADDPA
894,1.102,1,D,1.100->1.102,FN,1.1,1.91->1.100,much,[A* Ned] [D* without] [P saying] [D much] [F himself],degree,,,,[A*][D*][P][D][F,A*D*PD
895,1.42,1,D,1.39->1.42,FN,1.39,1.31->1.39,so,"[A* you] [F for] [F being] [D so] [S skeptical] [U ?] [U ""]",degree,,,,[A*][F][F][D][S][U][U,A*DS
898,1.109,2,D,1.108->1.109,FN,1.108,1.4->1.108,no matter,[D no matter] [D how] [S [C powerful] [N and] [C [E well] [C armed] ] ] [A they] [F were],degree,,,,[D][D][S][A][F,DDSA
898,1.11,1,D,1.108->1.110,FN,1.108,1.4->1.108,how,[D no matter] [D how] [S [C powerful] [N and] [C [E well] [C armed] ] ] [A they] [F were],degree,,,,[D][D][S][A][F,DDSA
899,1.23,1,D,1.16->1.23,FN,1.16,1.14->1.16,clean,[R that] [A [E narwhale] [C tusks] ] [F have] [P run ... through] [D clean],degree,,,,[R][A][F][P][D],APD
899,1.158,1,D,1.153->1.158,FN,1.153,1.145->1.153,merely,[A [E The] [C devilfish] ] [S is] [D merely] [A [E a] [C mollusk] ],degree,,,,[A][S][D][A],ASDA
899,1.218,1,D,1.213->1.218,FN,1.213,1.145->1.213,utterly,[A it] [D would] [D still] [F be] [D utterly] [S harmless] [A [R to] [C ships] [E [R like] [C [C [E the] [C Scotia] ] [N or] [C [E the] [C Abraham Lincoln] ] ] ] ],degree,,,,[A][D][D][F][D][S][A],ADDDSA
900,1.118,1,D,1.115->1.118,FN,1.115,1.106->1.115,tremendous,"[A* tusk] [R that] [F has] [D tremendous] [D penetrating] [S power] [U .] [U ""]",degree,,,,[A*][R][F][D][D][S][U][U,A*DDS
902,1.8,1,D,1.5->1.8,FN,1.5,1.4->1.5,well,"[A IMPLICIT] [P Note] [D well] [U ,] [G my fine Canadian]",degree,,,,[A][P][D][U][G,APD
902,1.19,1,D,1.18->1.19,FN,1.18,1.4->1.18,such,[D such] [A [E an] [C animal] ] [P exists],degree,,,,[D][A][P],DAP
902,1.101,1,D,1.98->1.101,FN,1.98,1.96->1.98,incalculable,"[F it] [D takes] [D incalculable] [S strength] [A [H [A IMPLICIT] [D just] [F to] [P live] [A [R in] [E those] [E deep] [C strata] ] ] [L and] [H [A IMPLICIT] [D* just] [P withstand] [A [E their] [C pressure] [U .] [U ""] ] ] ]",degree,,,,[F][D][D][S][A],DDSA
904,1.98,1,D,1.87->1.98,FN,1.87,1.26->1.87,quite,[A [E such] [E a] [C column] [E [R of] [C water] ] ] [D would] [D n't] [F be] [D quite] [D so] [S high],degree,,,,[A][D][D][F][D][D][S],ADDDDS
904,1.99,1,D,1.87->1.99,FN,1.87,1.26->1.87,so,[A [E such] [E a] [C column] [E [R of] [C water] ] ] [D would] [D n't] [F be] [D quite] [D so] [S high],degree,,,,[A][D][D][F][D][D][S],ADDDDS
905,1.1,2,D,1.6->1.10,FN,1.6,1.3->1.6,[E the] [C foggiest],"[A I] [D have] [D n't] [D [E the] [C foggiest] ] [P notion] [U ,] [G Professor Aronnax]",degree,,,,[A][D][D][D][P][U][G,ADDDP
907,1.171,1,D,1.156->1.171,FN,1.156,1.141->1.156,just,"[A [C deep] [E [R in] [E the] [C sea] ] ] [U ,] [A [E such] [C animals] ] [D would] [D need] [F to] [F be] [D just] [D as] [S strong]",degree,,,,[A][U][A][D][D][F][F][D][D][S],AADDDDS
908,1.13,1,D,1.11->1.13,FN,1.11,1.3->1.11,how,[R than] [D how] [S bullheaded] [A [E the] [C harpooner] ] [D could] [F be],degree,,,,[R][D][S][A][D][F,DSAD
908,1.49,1,D,1.43->1.49,FN,1.43,1.1->1.43,enough,[A [E Its] [C hole] ] [F was] [S real] [D enough],degree,,,,[A][F][S][D],ASD
968,1.43,1,D,1.41->1.43,FN,1.41,1.1->1.41,just,[A* circumstance] [P showed] [D just] [A [A [E how much] [C confidence] ] [A we] [D could] [P place] [A [R in] [C him] [U .] ] ],degree,,,,[A*][P][D][A],A*PDA
969,1.117,1,D,1.112->1.117,FN,1.112,1.1->1.112,such,[A [E the] [C Canadian] ] [F had] [D such] [D good] [S luck],degree,,,,[A][F][D][D][S],ADDS
975,1.18,2,D,1.17->1.18,FN,1.17,1.1->1.17,a bit,"[A* [C Eyes] [N and] [C spyglasses] ] [U (] [D a bit] [P dazzled] [U ,] [G it is true] [U ,] [A [E [R by] [E the] [C vista] [R of] ] [U $] [C 2,000.00] ]",degree,,,,[A*][U][D][P][U][G][U][A],A*DPA
976,1.7,1,D,1.2->1.7,FN,1.2,1.1->1.2,hardly,"[G As for me] [U ,] [A I] [F was] [D hardly] [P drawn] [A [R by] [E the] [C lure] [E [R of] [C money] ] ]",degree,,,,[G][U][A][F][D][P][A],ADPA
976,1.33,1,D,1.31->1.33,FN,1.31,1.1->1.31,only,[A* I] [P Snatching] [D only] [A [E a] [E few] [C minutes] ] [A [R for] [C meals] ],degree,,,,[A*][P][D][A][A],A*PDAA
976,1.16,1,D,1.146->1.160,FN,1.146,1.1->1.146,densely,[A IMPLICIT] [T [R In] [E an] [C instant] ] [A [E [E the] [C frigate] [R 's] ] [C deck] ] [D would] [D become] [D densely] [P populated],degree,,,,[A][T][A][D][D][D][P],AADDDP
976,1.215,1,D,1.213->1.215,FN,1.213,1.1->1.213,nearly,[A I] [D nearly] [D went] [P blind] [A [R from] [E a] [E [S worn ... out] [U -] ... [A* retina] ] [C retina] ],degree,,,,[A][D][D][P][A],ADDPA
977,1.4,1,D,1.3->1.4,FN,1.3,1.1->1.3,what,[D what] [P [E a] [C waste] ] [A [R of] [C energy] ],degree,,,,[D][P][A],DPA
977,1.31,1,D,1.30->1.31,FN,1.3,1.1->1.30,only,[D only] [F to] [P find] [A [C [C [E an] [E ordinary] [E baleen] [C whale] ] [N or] [C [E a] [E common] [E sperm] [C whale] ] ] [E [A* [C [E an] [E ordinary] [E baleen] [C whale] ] [N or] [C [E a] [E common] [E sperm] [C whale] ] ] [R that] [T soon] [P disappeared] [A [R amid] [C [A IMPLICIT] [A IMPLICIT] [D [E a] [C chorus] [R of] ] [P curses] [U !] ] ] ] ],degree,,,,[D][F][P][A],DPA
979,1.6,1,D,1.57->1.60,FN,1.57,1.56->1.57,marvelous,[P [E the] ... [C power] ] [D marvelous] ... [A [R of] [E his] [C [P vision] ... [A* Canadian] ] ] ... [A* Canadian],degree,,,,[P][D][A][A*,PDAA*
980,1.78,1,D,1.75->1.78,FN,1.75,1.3->1.75,truly,[A I] [F 'm] [D truly] [D willing] [P [F to] [C believe] ] [A it],degree,,,,[A][F][D][D][P][A],ADDPA
981,1.15,1,D,1.11->1.15,FN,1.11,1.1->1.11,just,[G Obviously] [A we] [F were] [D just] [P groping] [D blindly],degree,,,,[G][A][F][D][P][D],ADPD
981,1.37,1,D,1.31->1.37,FN,1.31,1.1->1.31,pretty,[A [E our] [C chances] ] [F were] [D automatically] [D pretty] [S limited],degree,,,,[A][F][D][D][S],ADDS
985,1.84,1,D,1.82->1.84,FN,1.82,1.1->1.82,steadily,[A* crew] [D grew] [D steadily] [D more] [P furious],degree,,,,[A*][D][D][D][P],A*DDDP
985,1.115,1,D,1.109->1.115,FN,1.109,1.1->1.109,only,[A [E each] [C man] ] [T now] [D wanted] [D only] [F to] [P catch up] [A [R on] [C [A* man] [P [E his] [C [C eating] [N and] [C sleeping] ] ] ] ],degree,,,,[A][T][D][D][F][P][A],ADDPA
990,1.83,1,D,1.80->1.83,FN,1.8,1.1->1.80,great,"[S [E the] ... [C satisfaction] ] [D great] ... [U ,] [G I must say] [U ,] [A [R of] [E assorted] [C sharks] ]",degree,,,,[S][D][U][G][U][A],SDA
994,1.13,2,D,1.10->1.13,FN,1.1,1.2->1.10,[E just] [C barely],"[R that] [U ,] [D [E just] [C barely] ] [U ,] [A [E the] [E [S gallant] [A* lad] ] [C lad] ] [F had] [P fallen] [A [R under] [E the] [E general] [C [A* lad] [D* general] [P influence] ] ]",degree,,,,[R][U][D][U][A][F][P][A],DAPA
997,1.38,1,D,1.37->1.38,FN,1.37,1.6->1.37,What,[D What] [P [E a] [C waste] ] [A [R of] [C time] ],degree,,,,[D][P][A],DPA
997,1.47,1,D,1.46->1.47,FN,1.46,1.6->1.46,what,[D what] [P [E a] ... [C expense] ] [D futile] ... [A [R of] [C emotion] ],degree,,,,[D][P][D][A],DPDA
997,1.249,1,D,1.247->1.249,FN,1.247,1.244->1.247,How,[A IMPLICIT] [D How] [S true],degree,,,,[A][D][S],ADS
306,1.29,2,D,1.25->1.29,FN,1.25,1.23->1.25,[E [E ten] [C times] ] [C more],[A [E the] [C animal] ] [D [E [E ten] [C times] ] [C more] ] [S powerful],"degree,comparative",,,,[A][D][S],ADS
984,1.178,3,D,1.177->1.178,FN,1.177,1.175->1.177,[E the] [E least] [C bit],[A* anything] [D [E the] [E least] [C bit] ] [S unearthly] [U !],"degree,comparative",,,,[A*][D][S][U,A*DS
997,1.157,2,D,1.154->1.157,FN,1.154,1.153->1.154,Quite so,"[S IMPLICIT] [A IMPLICIT] [D Quite so] [U ,] [G Conseil]","degree,mood",,,,[S][A][D][U][G,SAD
36,1.71,1,D,1.63->1.71,FN,1.63,1.1->1.63,especially,[F it] [G must be said] [F that] [A [E professional] [C seamen] ] [F were] [D especially] [P alarmed],description,,,,[F][G][F][A][F][D][P],ADP
40,1.15,1,D,1.10->1.15,FN,1.1,1.1->1.10,undeniable,[A this] [F was] [S [E an] ... [C fact] ] [D undeniable],description,,,,[A][F][S][D],ASD
40,1.48,1,D,1.43->1.48,FN,1.43,1.41->1.43,unearthly,[A IMPLICIT] [R by] [P [E this] ... [C apparition] ] [D unearthly],description,,,,[A][R][P][D],APD
41,1.115,1,D,1.111->1.115,FN,1.111,1.105->1.111,intermittent,[R to] [P [E the] ... [C eruptions] ] [D intermittent] ... [A [R of] [E a] [C geyser] ],description,,,,[R][P][D][A],PDA
41,1.129,3,D,1.122->1.129,FN,1.122,1.1->1.122,[C [E fair] ... [C* dealings] ] [N and] [C honest],"[A [E [E the] [C Governor] ] [C Higginson] ] [F had] [D [C [E fair] ... [C* dealings] ] [N and] [C honest] ] [P dealings] [A [R with] [E some] [E aquatic] [C mammal] [U ,] [E [A IMPLICIT] [A* mammal] [T [E until] [C then] ] [P unknown] ] [U ,] [E [A* mammal] [R that] [D could] [P spurt] [A [R from] [E its] [C blowholes] ] [A [C waterspouts] [E [A IMPLICIT] [A* waterspouts] [P mixed] [A [R with] [C [C air] [N and] [C steam] [U .] ] ] ] ] ] ]",description,,,,[A][F][D][P][A],ADPA
42,1.7,1,D,1.2->1.7,FN,1.2,1.1->1.2,likewise,"[A [E Similar] [C events] ] [F were] [D likewise] [P observed] [A [R in] [E Pacific] [C seas] ] [U ,] [T [R on] [C July 23] [E [R of] [E the] [E same] [C year] ] ] [U ,] [A [R by] [E the] [C Christopher Columbus] [E [R from] [E the] [C West India ... Pacific Steam Navigation Co] [U &] ] ]",description,,,,[A][F][D][P][A][U][T][U][A],ADPAA
42,1.51,3,D,1.35->1.51,FN,1.35,1.1->1.35,[R with] [E startling] [C swiftness],[A [E this] [E extraordinary] [C cetacean] ] [D could] [P transfer] [A itself] [A [R from] [C [E one] [C locality] ] [R to] [C [C* locality] [E another] ] ] [D [R with] [E startling] [C swiftness] ],description,,,,[A][D][P][A][A][D],ADPAAD
43,1.54,1,D,1.2->1.54,FN,1.2,1.1->1.2,respectively,"[T [E Fifteen] [C days] [E later] ] [A [R and] [E 2,000] [C leagues] [E farther] ] [U ,] [A [C [E the] [C Helvetia] [E [R from] [E the] [C Compagnie Nationale] ] ] [N and] [C [E the] [C Shannon] [E [R from] [E the] [E Royal Mail] [C line] ] ] ] ... [D respectively] [P signaled] [A each other] [A [R that] [A [E the] [C monster] ] [F had] [F been] [P sighted] [A [C [R in] [E latitude] [C 42 15 ... north] [U °] ] [U '] [N and] [C [R* in] [E longitude] [C 60 35 ... west] [U °] ... [U '] [E [R of] [E the] [C meridian] [R of] [E Greenwich] ] ] ] ]",description,,,,[T][A][U][A][D][P][A][A],AADPAA
43,1.94,1,D,1.85->1.94,FN,1.85,1.1->1.85,able,"[A [R From] [E their] [E simultaneous] [C observations] ] [U ,] [A they] [F were] [D able] [F to] [P estimate] [A [E the] [E mammal] [F 's] [E minimum] [C length] ] [A [R at] [E [C more] [R than] ] [E 350] [E English] [C feet] ]",description,,,,[A][U][A][F][D][F][P][A][A],AADPAA
44,1.3,3,D,1.2->1.3,FN,1.2,1.1->1.2,[C One] [R after] [C another],"[D [C One] [R after] [C another] ] [U ,] [A [E [C reports] ... [E [A* reports] [R that] [F would] [D profoundly] [P affect] [A [E public] [C opinion] ] ] ] [U :] [C [C [A [E new] [C observations] ] [P taken] [A [R by] [E [E the] [E transatlantic] [C liner] ] [C Pereire] ] ] [U ,] [C [A [E the] [E [E Inman] [C line] ] [R 's] [C Etna] ] [P running afoul] [A [R of] [E the] [C monster] ] ] [U ,] [C [A [E an] [E official] [C report] ] [P drawn up] [A [R by] [C officers] [R on] [E [E [E the] [E French] [C frigate] ] [C Normandy] ] ] ] [U ,] [C [A [D dead ... earnest] [U -] ... [P reckonings] ... [A* staff] ] [P obtained] [A [R by] [E the] [E general] [C staff] [R of] [E Commodore Fitz ... James] [U -] ] [A [R aboard] [E the] [C Lord Clyde] ] ] ] ] [P arrived]",description,,,,[D][U][A][P],DAP
44,1.68,2,D,1.67->1.68,FN,1.67,1.66->1.67,dead ... earnest,[D dead ... earnest] [U -] ... [P reckonings] ... [A* staff],description,,,,[D][U][P][A*,DPA*
47,1.13,3,D,1.12->1.13,FN,1.12,1.1->1.12,[R With] [E inexhaustible] [C zest],"[D [R With] [E inexhaustible] [C zest] ] [U ,] [A [E the] [E popular] [C press] ] [D took] [P potshots] [A [C [R at] [E feature] [C articles] [E [R from] [C the Geographic Institute] [R of] [E Brazil] ] [U ,] [E [R* from] [C the Royal Academy of Science] [R in] [E Berlin] ] [U ,] [E the British Association] [U ,] [E [R* from] [C the Smithsonian Institution] [R in] [E Washington ... D.C] [U ,] ] ] [U .] [U ,] [C [R at] [C discussions] [E [R in] [C The Indian Archipelago] ] [U ,] [E [R in] [C Cosmos] [E [A* Cosmos] [P published] [A [R by] [C Father Moigno] ] ] ] [U ,] [E [R in] [C Petermann 's Mittheilungen,2] ] ] [N and] [C [R at] [E scientific] [C chronicles] [E [R in] [E the] [E great] [E [C French] [N and] [C foreign] ] [C newspapers] ] ] ]",description,,,,[D][U][A][D][P][A],DADPA
47,1.124,2,D,1.122->1.124,FN,1.122,1.1->1.122,[R in] [C essence],"[A* writers] [P maintaining] [D [R in] [C essence] ] [A [R that] [U ""] [A nature] [F does] [D n't] [P make] [A lunatics] ]",description,,,,[A*][P][D][A],A*PDA
47,1.245,1,D,1.240->1.245,FN,1.24,1.232->1.240,universal,[A IMPLICIT] [R amid] [P [E a] ... [C burst of laughter] ] [D universal],description,,,,[A][R][P][D],APD
48,1.93,2,D,1.88->1.93,FN,1.88,1.1->1.88,[E entirely] [C new],[A [E The] [C question] ] [P took an ... turn] [D [E entirely] [C new] ],description,,,,[A][P][D],APD
49,1.62,1,D,1.58->1.62,FN,1.58,1.57->1.58,combined,[R Under] [P [E the] ... [C efforts] ] [D combined] ... [A [C [R of] [C wind] ] [N and] [C [R* of] [E [E 400] [U -] [C horsepower] ] [C steam] ] ],description,,,,[R][P][D][A],PDA
49,1.115,1,D,1.114->1.115,FN,1.114,1.111->1.114,together,[P* gone] [D together] [A [R with] [E those] [E 237] [C passengers] [E [A* passengers] [A it] [F was] [P bringing back] [A [R from] [C Canada] [U .] ] ] ],description,,,,[][D][A],DA
50,1.51,2,D,1.47->1.51,FN,1.47,1.41->1.47,[E most] [C scrupulous],[A* They] [R with] [P [E the] ... [C care] ] [D [E most] [C scrupulous] ],description,,,,[A*][R][P][D],A*PD
50,1.85,1,D,1.76->1.85,FN,1.76,1.1->1.76,violently,[A [E those] [C sheets] [E [R of] [C water] ] ] [F had] [F been] [D violently] [P churned],description,,,,[A][F][F][D][P],ADP
51,1.63,1,D,1.59->1.63,FN,1.59,1.57->1.59,new,[R by] [P [E this] ... [C ramming] ] [D new],description,,,,[R][P][D],PD
